SET_ID,pIC50,RDKIT_SMILES,trainingset_class,activity_label
296779,5.651500429716163,CCOc1cc(-c2ccc(N3CCC4(CC3)CN4C(=O)c3ccc(OC)cc3)nc2)c2c(C#N)cnn2c1,test,0
305539,7.642065152999545,CCOc1cc(-c2ccc(N3CCC(C)(N=C(O)OC4CCCC4)CC3)nc2)c2c(C#N)cnn2c1,test,1
305109,6.872895201635193,CC(C)(O)COc1cc(-c2ccc(N3CCC(C)(N=C(O)Cc4ccccc4)CC3)nc2)c2c(C#N)cnn2c1,test,1
305652,7.173925197299174,CC(C)CC(O)=NC1(C)CCN(c2ccc(-c3cc(OCCN4CCOCC4)cn4ncc(C#N)c34)cn2)CC1,test,1
305752,7.619788758288393,COc1cc(-c2cnc(N3CCC(Cc4ccccc4)(N=C(O)C(O)CO)CC3)cn2)c2c(C#N)cnn2c1,test,1
305482,6.349692476868063,COc1cc(-c2ccc(N3CCC(C)(N=C(O)OC(C)C)CC3)nc2)c2c(Cl)cnn2c1,test,1
305257,7.380906669373259,CC(C)(O)COc1cc(-c2ccc(N3CCC(Oc4cccc(F)c4)CC3)nc2)c2c(C#N)cnn2c1,test,1
305028,6.966576244513051,CCOc1cc(-c2ccc(N3CCC(O)(Cc4ccccn4)CC3)nc2)c2c(C#N)cnn2c1,test,1
305602,6.477555766493679,CCOc1cc(-c2ccc(N3CCC(Cc4ccccn4)(N=C(O)C4CCCN4C)CC3)nc2)c2c(C#N)cnn2c1,test,1
305237,7.212539525481585,CC(C)(O)COc1cc(-c2ccc(N3CCC(Oc4ccc(F)cn4)CC3)nc2)c2c(C#N)cnn2c1,test,1
303768,6.546681659952962,CCOc1cc(-c2cnc(N3CC4CC(C3)N4Cc3ccc(CC)nc3)cn2)c2c(C#N)cnn2c1,training,1
305305,7.428291168191312,CC1(N=C(O)c2ncccc2Cl)CCN(c2ccc(-c3cc(OCCN)cn4ncc(C#N)c34)cn2)CC1,test,1
305200,5.80271944187438,CC(C)(O)COc1cc(-c2ccc(N3CCC(N4CCCC4=O)CC3)nc2)c2c(C#N)cnn2c1,test,0
296214,6.5934598195660445,CN1CCN(CCOc2cc(-c3ccc(N4CCN(Cc5ccccc5)CC4)nc3)c3c(C#N)cnn3c2)CC1,test,1
305204,6.638272163982407,CC(C)(O)COc1cc(-c2ccc(N3CCC(S(=O)(=O)CC4CC4)CC3)nc2)c2c(C#N)cnn2c1,test,1
315896,6.140261433802854,CCOc1cc(-c2ccc(N3CCC(C)(N=C(O)C4CCN4)CC3)nc2)c2c(C#N)cnn2c1,test,1
305667,7.274088367704952,Cc1cccc(Cl)c1C(O)=NC1(C)CCN(c2cnc(-c3cc(OCC(C)(C)O)cn4ncc(C#N)c34)cn2)CC1,test,1
305249,7.714442690992227,CC(C)(O)COc1cc(-c2ccc(N3CCC(Oc4cncc(F)c4)CC3)nc2)c2c(C#N)cnn2c1,test,1
305568,6.539102157243452,CCOc1cc(-c2ccc(N3CCC(CN4CCOCC4)(N=C(O)CC(F)(F)F)CC3)nc2)c2c(C#N)cnn2c1,test,1
305710,6.5003129173815966,CCOc1cc(-c2ccc(N3CCC(N=C(O)CC(C)C)C(N)C3)nc2)c2c(C#N)cnn2c1,test,1
305521,5.354283060630396,CCOc1cc(-c2ccc(N3CCC(C)(N=C(O)C(C)N(C)C(=O)OC(C)(C)C)CC3)nc2)c2c(C#N)cnn2c1,test,0
305694,6.718966632752272,CCOc1cc(-c2cnc(N3CCC(N=C(O)c4ncccc4C)C(O)C3)cn2)c2c(C#N)cnn2c1,test,1
305313,6.124360062995832,CCOc1cc(-c2ccc(N3CCC(O)(c4cccnc4)CC3)nc2)c2c(C#N)cnn2c1,test,1
305434,7.073143291050307,CCOc1cc(-c2ccc(N3CCC(C)(N=C(O)CC(C)C)CC3)nc2)c2c(C#N)cnn2c1,test,1
305194,6.563837352959244,COc1cncc(OC2CCN(c3ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn3)C2)c1,test,1
305728,7.013228265733755,Cc1cccc(CC2(O)CCN(c3ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn3)CC2)c1,test,1
305400,7.236572006437062,COc1cc(-c2ccc(N3CCC(Oc4ccc(C)nn4)CC3)nc2)c2c(Cl)cnn2c1,training,1
305234,6.294136287716081,CC(C)(O)COc1cc(-c2ccc(N3CCC(Oc4ncc(Cl)cc4F)CC3)nc2)c2c(C#N)cnn2c1,test,1
305096,6.612610173661269,Cc1cccc(C(O)=NC2(C)CCN(c3ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn3)CC2)n1,test,1
305374,7.9746941347352305,CCOc1cc(-c2ccc(N3CCC(CN4CCN(CC)CC4)(N=C(O)c4cc(F)ccc4F)CC3)nc2)c2c(C#N)cnn2c1,test,1
305395,7.047207556955907,N#Cc1cnn2cc(OCCN3CCOCC3)cc(-c3ccc(N4CCC(O)(Cc5ccccc5)CC4)nc3)c12,test,1
305166,5.886056647693162,CC(C)(O)COc1cc(-c2ccc(N3CC(Oc4cccc(C(F)(F)F)n4)C3)nc2)c2c(C#N)cnn2c1,training,0
305015,6.235823867609669,Cc1ccc(C(O)=NC2(C)CCN(c3ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn3)CC2)cn1,test,1
305554,7.3187587626244115,CCOc1cc(-c2ccc(N3CCC(CN(C)C)(N=C(O)c4ncccc4C(F)(F)F)CC3)nc2)c2c(C#N)cnn2c1,test,1
305450,5.679645967182329,CCOc1cc(-c2ccc(N3CCC(C)(C(=O)N4CCCC4)CC3)nc2)c2c(C#N)cnn2c1,training,0
305063,6.974694134735231,CC(C)(O)COc1cc(-c2ccc(N3CCC(C)(N=C(O)c4ncccc4C(F)(F)F)CC3)nc2)c2c(C#N)cnn2c1,test,1
305236,7.774690718274138,COc1ccc(OC2CCN(c3ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn3)CC2)nc1,test,1
